url	title	provider	rating	num_ratings
https://www.coursera.org/learn/code-free-data-science	Code Free Data Science	University of California San Diego	4.3	15
https://www.coursera.org/learn/introduction-clinical-data-science	Introduction to Clinical Data Science	University of Colorado System	4.7	138
https://www.coursera.org/learn/what-is-datascience	What is Data Science?	IBM	4.7	18,947
https://www.coursera.org/learn/the-data-science-of-health-informatics	The Data Science of Health Informatics	Johns Hopkins University	4.8	16
https://www.coursera.org/learn/data-science-methodology	Data Science Methodology	IBM	4.6	8,564
https://www.coursera.org/learn/datasciencemathskills	Data Science Math Skills	Duke University	4.5	2,118
https://www.coursera.org/learn/sql-data-science	Databases and SQL for Data Science	IBM	4.7	6,663
https://www.coursera.org/learn/data-science-for-business-innovation	Data Science for Business Innovation	EIT Digital Politecnico di Milano 	3.7	9
https://www.coursera.org/learn/python-for-data-science	Python для анализа данных	Moscow Institute of Physics and Technology ФРОО Mail.Ru Group 	4.5	37
https://www.coursera.org/learn/open-source-tools-for-data-science	Open Source tools for Data Science	IBM	4.6	10,998
https://www.coursera.org/learn/data-science-k-means-clustering-python	Foundations of Data Science: K-Means Clustering in Python	University of London Goldsmiths, University of London 	4.7	33
https://www.coursera.org/learn/executive-data-science-capstone	Executive Data Science Capstone	Johns Hopkins University	4.7	1,129
https://www.coursera.org/learn/competitive-data-science	How to Win a Data Science Competition: Learn from Top Kagglers	National Research University Higher School of Economics	4.7	730
https://www.coursera.org/learn/advanced-data-science-capstone	Advanced Data Science Capstone	IBM	4.7	151
https://www.coursera.org/learn/applied-data-science-capstone	Applied Data Science Capstone	IBM	4.7	2,243
https://www.coursera.org/learn/real-life-data-science	Data Science in Real Life	Johns Hopkins University	4.4	1,609
https://www.coursera.org/learn/data-science-ethics	Data Science Ethics	University of Michigan	4.6	112
https://www.coursera.org/learn/build-data-science-team	Building a Data Science Team	Johns Hopkins University	4.5	2,552
https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r	Introducción a Data Science: Programación Estadística con R	Universidad Nacional Autónoma de México	4.7	3,709
https://www.coursera.org/learn/python-for-applied-data-science-ai	Python for Data Science and AI	IBM	4.6	9,301
https://www.coursera.org/learn/data-science-project	Data Science Capstone	Johns Hopkins University	4.5	913
https://www.coursera.org/learn/sql-for-data-science	SQL for Data Science	University of California, Davis	4.6	2,774
https://www.coursera.org/learn/data-science-course	A Crash Course in Data Science	Johns Hopkins University	4.5	5,185
https://www.coursera.org/learn/advanced-clinical-data-science	Advanced Clinical Data Science	University of Colorado System	0	0
https://www.coursera.org/learn/genomic-data-science-project	Genomic Data Science Capstone	Johns Hopkins University	4.6	38
