id	title	provider	score	rating	level	duration	language	skills	enroll
7	                      What is Data Science?	                      IBM	                      4.7	                      18,947	                      Beginner Level	                      Approx. 6 hours to complete	                      English	                      	                      136,572	
9	                      Introduction to Data Science in Python	                      University of Michigan	                      4.5	                      12,967	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      Data Cleansing,Pandas,Python Programming,Numpy	                      296,103	
10	                      SQL for Data Science	                      University of California, Davis	                      4.6	                      2,774	                      Beginner Level	                      Approx. 20 hours to complete	                      English	                      Sqlite,Data Science,Data Analysis,SQL	                      119,919	
18	                      Python for Data Science and AI	                      IBM	                      4.6	                      9,301	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      Pandas,Data Science,Python Programming,Numpy	                      89,355	
21	                      Machine Learning	                      Stanford University	                      4.9	                      120,050	                      Mixed	                      Approx. 56 hours to complete	                      English	                      Logistic Regression,Machine Learning,Artificial Neural Network,Machine Learning (ML) Algorithms	                      2,653,323	
23	                      Foundations of Data Science: K-Means Clustering in Python	                      University of London,Goldsmiths, University of London	                      4.7	                      33	                      Beginner Level	                      Approx. 28 hours to complete	                      English	                      Machine Learning,K-Means Clustering,Programming in Python	                      2,634	
24	                      Математика и Python для анализа данных	                      Moscow Institute of Physics and Technology,Yandex	                      4.8	                      4,469	                      Beginner Level	                      Approx. 28 hours to complete	                      Russian	                      Scipy,Statistics,Python Programming,Numpy	                      58,743	
27	                      Data Science Math Skills	                      Duke University	                      4.5	                      2,118	                      Beginner Level	                      Approx. 15 hours to complete	                      English	                      Bayesian Probability,Probability Theory,Probability,Bayes' Theorem	                      79,419	
28	                      A Crash Course in Data Science	                      Johns Hopkins University	                      4.5	                      5,185	                      Mixed	                      Approx. 5 hours to complete	                      English	                      Machine Learning,Data Science,Data Analysis,Project	                      120,756	
43	                      Advanced Data Science Capstone	                      IBM	                      4.7	                      151	                      Advanced Level	                      Approx. 10 hours to complete	                      English	                      	                      3,960	
48	                      Building a Data Science Team	                      Johns Hopkins University	                      4.5	                      2,552	                      Mixed	                      Approx. 4 hours to complete	                      English	                      Data Science,Team Building,Management,Team Management	                      28,387	
